condition,taxa841,taxa572511,taxa1730,taxa216851,taxa189330,taxa375288,taxa816,taxa239759,taxa33042,taxa292632,taxa1263,taxa102106,taxa1678,taxa459786,taxa1301,taxa1485,taxa239934,taxa35832,taxa397864,taxa39948,taxa283168,taxa84111,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544,taxa577309,taxa1654,taxa904,taxa123375,taxa32207,taxa1017280,taxa830,taxa133925,taxa848,taxa286,taxa570,taxa906,taxa1350,taxa52225,taxa33024,taxa1380,taxa1348911,taxa946234,taxa84108,taxa846
crc,0.0012,0.16288,1.67703,3.13945,0.06929,1.33879,9.04741,2.05947,0.16771,10.2744,0.34747,0.31393,4.88171,0.01937,,1.81393,19.3662,0.6743,0.06082,0.40141,,0.04325,42.4702,,,,0.49938,,0.61609,0.01755,0.00441,,0.00673,,,,,,,,,0.06749,,,,,0.00884,,,,,,,,,,,,,,0.0114
crc,,0.20407,1.65087,3.08771,0.08565,1.09285,8.51985,2.06044,0.20167,9.97117,0.31219,0.35369,7.89981,0.02357,,1.78451,19.04,0.74198,0.07312,0.37484,,0.05416,40.8762,,,,0.37144,,0.63812,0.03027,0.00503,,0.00738,,,,,,,,,0.06119,,,,,0.00446,,,,,,,,,,,,,,0.00903
crc,10.8227,4.14134,26.0139,9.08217,2.45058,0.78488,15.6927,0.28057,3.5982,4.36764,5.49003,0.51579,0.51687,0.03,0.68376,0.3306,0.17618,0.01638,1.23984,4.26298,0.36794,,0.01347,1.60217,0.01501,0.6085,,0.17796,,,,,0.00813,0.08186,0.0502,2.59453,0.03794,0.03177,0.00236,0.0106,,,,,,0.0007,,,,,,,,,,,,0.0647,,,
crc,10.8107,4.46744,26.1347,8.84288,2.58501,0.77951,15.4859,0.26628,3.4268,4.6871,5.58749,0.5318,0.46052,0.03112,0.61042,0.33642,0.1264,0.0273,1.36908,4.27873,0.09305,,,1.57745,0.02022,0.62434,,0.17258,,,,,0.00186,0.09996,0.04788,2.57388,0.01963,0.01954,0.00769,,,,,,,,,,,,,,,,,,,0.03843,,,
crc,0.10636,4.29271,4.94461,0.74808,3.28584,1.27619,11.129,7.68289,2.21629,3.28957,18.5569,0.00344,6.56749,0.01295,1.2898,0.46359,7.54303,0.17058,6.17678,0.00837,3.71354,0.3521,0.08115,1.27812,,0.01328,8.99354,0.37309,,,,,0.08389,0.00235,0.01183,,0.07603,0.00853,0.21068,,,,0.00386,,,,,,,0.1204,0.03644,,,,,,,0.23915,,,0.06592
crc,0.1039,4.37741,4.97051,0.7204,3.24179,1.29612,11.4459,7.47027,2.20807,2.86047,18.818,0.00345,6.5389,0.00971,1.22391,0.46747,7.48608,0.18365,6.15397,0.00644,3.69326,0.34863,0.0424,1.33555,,0.01824,9.66167,0.32057,,,,,0.0944,,,,0.054,0.00384,0.18625,,,,0.01186,,,,,,0.00375,0.09932,,,,,,,,0.2585,,,0.05708
crc,11.1575,19.798,0.04983,2.88556,5.79164,1.91975,17.4494,0.73507,1.60643,1.65642,0.12566,1.91738,8.55055,0.15626,0.81917,0.06001,,0.63308,,,,,0.71067,,0.01788,,,,0.09209,,,,,,0.34277,0.06649,0.79742,,,,,,,,,,,,,8.77198,,,0.3646,,0.18422,1.78562,,,0.05807,,
crc,11.2383,20.0043,0.06701,2.50368,5.87546,1.88993,17.9141,0.68315,1.62087,1.57798,0.08444,1.85251,7.63875,0.16187,0.90845,0.05381,,0.70845,,,,,0.88559,,0.02405,,,,0.08719,,,,,,0.39382,0.03714,0.86059,,,,,,,,,,,,,9.197,,,0.72318,,0.04919,1.67321,,,0.04867,,
crc,11.1882,21.3423,0.01877,2.85543,5.81887,2.04882,16.9277,0.62469,1.54009,1.23543,0.08485,1.92053,8.44398,0.13901,0.83994,0.10781,,0.63351,,,,,0.79188,,0.01685,,,,0.09454,,,,,,0.31523,0.1186,0.83206,,,,,,,,,,,,,8.87584,,,0.17742,,,1.7093,,,0.05006,,
crc,12.5381,21.0018,0.08107,2.9703,6.76867,2.15093,11.5695,0.70556,1.77791,1.55238,0.13553,1.98096,8.93321,0.11245,0.93629,0.09918,,0.70357,,,,,0.78233,,0.03801,,,,0.07386,,,,,,0.30348,0.06295,0.80093,,,,,,,,,,,,,9.49816,,,0.37593,,0.0507,1.88382,,,0.09722,,
