condition,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544
crc,,,,,0.03705,,9.40254,0.26376,0.71129,0.19294,,,0.06904,,,,,,
crc,,,,,0.0662,,9.47661,0.29441,0.80092,0.18705,,,,,,,,,
crc,,,,,0.0663,,9.34394,0.21819,0.85125,0.19441,,,,,,,,,
crc,,,,,,,10.069,0.42668,0.82877,0.16095,,,0.02437,,,,,,
crc,0.07473,,0.0047,,,0.08974,,,,,,,,,,0.03622,0.00993,,
crc,,,,,,,,,,,,,,,,,,,
crc,0.31857,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,,,,,,,,,,,,,,,,
crc,,,,,,0.08305,,0.34202,,,,,,,,,,,1.75947
crc,0.22127,,,,,0.04462,,,,,,,,,,,,,1.59924
crc,0.20922,,,,,0.06867,,,,,,,,,,,,,1.67598
crc,0.25484,,,,,0.0837,,,,,,,,,,,,,1.76738
crc,2.75232,,,,,,,0.52823,,,,,,,,,,,
crc,2.94613,,,,,,,0.1176,,,,,,,,,,,
crc,2.95076,,,,,,,1.80779,,,,,,,,,,,
crc,1.42952,,,,,,,,,,,,,,,,,,
crc,0.65462,,,,0.12963,,,,,,,,,,,,,,
crc,0.70411,,,,0.06212,,,,,,,,,,,,,,
crc,0.48398,,,,,,,,,,,,,,,,,,
crc,0.95396,,,,,,,,,,,,,,,,,,
crc,,,,0.03914,,,1.49366,,0.41037,,,,,0.058,,,,,0.33151
crc,0.2412,,,,,,1.26999,,0.37512,,,,,0.04147,,,,,0.43188
crc,,,,,,,1.61606,,0.36011,,,,,,,,,,0.40516
crc,0.26187,,,,,,1.17537,,0.29989,,,,,0.04447,,,,,0.39994
crc,0.74211,,,,,,12.6806,,1.57316,,,,,,,,0.16358,,
crc,0.38387,,,,,,13.0509,0.80617,1.68961,,,,,,,,0.31172,,
crc,,,,,,,13.5977,,1.53904,,,,,,,,0.18228,,
crc,,,,,,,13.5874,,2.01818,,,,,,,,0.20121,,
crc,0.70916,,,,0.24775,,,,,0.03132,,,,,,,,,
crc,0.88987,,,,0.08877,,,,,,,,,,,,,,
crc,0.88729,,,,0.37804,,,,,,,,,,,,,,
crc,0.89312,,,,0.18852,,,,,,,,,,,,,,
crc,,,,,,,,,,,0.2076,,,,,,,1.55138,
crc,0.28771,,,,,,,,,,0.1734,,,,,,,0.36619,
crc,0.60546,,,,,,,,,,0.11354,,,,,,,0.2496,
crc,,,,,,,,,,,0.12793,,,,,,,0.52986,
crc,,0.29547,,,0.5993,0.63361,,,,,0.05502,,,,,,,,
